E1 P=0.4; E2 P=0.4; E3 P=0.4; E4 P=0.4; E5 P=0.4; E6 P=0.4; E7 P=0.4; E8 P=0.4; E9 P=0.4
E10 P=0.4; E11 P=0.4; E12 P=0.4; E13 P=0.477269; E14 P=0.423538; E15 P=0.4; E16 P=0.4; E17 P=0.4; E18 P=0.4
E19 P=0.4; E20 P=0.4; E21 P=0.424; E22 P=0.599; E23 P=0.599538; E24 P=0.561538; E25 P=0.457692; E26 P=0.4; E27 P=0.4
E28 P=0.4; E29 P=0.4; E30 P=0.495; E31 P=0.6; E32 P=0.6; E33 P=0.6; E34 P=0.482; E35 P=0.4; E36 P=0.4
E37 P=0.4; E38 P=0.404; E39 P=0.578857; E40 P=0.6; E41 P=0.6; E42 P=0.6; E43 P=0.466; E44 P=0.4; E45 P=0.4
E46 P=0.4; E47 P=0.485; E48 P=0.6; E49 P=0.6; E50 P=0.6; E51 P=0.6; E52 P=0.432; E53 P=0.4; E54 P=0.4
E55 P=0.409714; E56 P=0.582429; E57 P=0.6; E58 P=0.6; E59 P=0.6; E60 P=0.55; E61 P=0.4; E62 P=0.4; E63 P=0.4
E64 P=0.445048; E65 P=0.566667; E66 P=0.6; E67 P=0.6; E68 P=0.577714; E69 P=0.431429; E70 P=0.4; E71 P=0.4; E72 P=0.4
E73 P=0.4; E74 P=0.4; E75 P=0.433333; E76 P=0.477381; E77 P=0.408; E78 P=0.4; E79 P=0.4; E80 P=0.4; E81 P=0.4
